Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
WP Income Plus Institutional,WPINX,12/31/15,US Fund High Yield Bond,No,,,,,,,,1.00,3.07,100,"15,505,895.00",95,"-754,667.03",39,"8,545,693.80",28,,,-4.60,48,3.58,72,3.58,65,"Charles Stoll [$100,001 - $500,000];John Brandt [$0 - None];Robert Gearing [$0 - None];",2.89,98,3.41,43,-0.01,98,0.00,9,0.00,22,0.73,83,49.98,16,37.51,67,11.64,39,0.14,72,98.50,2,7,99,0.00,25,0.00,20,110.25,1,0.00,8,0.00,11,0.00,12,0.00,36,1.92,74,6.05,72,12.81,1,0.41,98,-8.79,100,2.36,1,69.06,89,-16.45,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,63,-3.50,97,1.42,43,-15.68,100,,,,
Xtrackers High Beta High Yield Bond ETF,HYUP,1/11/18,US Fund High Yield Bond,Yes,,,,,,,,,0.35,,"151,043,222.00",58,"4,797,756.15",26,,,,,3.28,28,1.50,90,1.50,88,Brandon Matsui [$0 - None];Bryan Richards [$0 - None];Tanuj Dora [$0 - None];Alexander Bridgeforth [$0 - None];,6.69,4,,,,,,,,,,,,,,,,,,,8.06,74,508,16,0.00,25,0.00,20,99.02,7,0.00,8,0.00,11,0.00,12,0.00,36,0.92,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2,-6.38,96,,,,
Xtrackers Low Beta High Yield Bond ETF,HYDW,1/11/18,US Fund High Yield Bond,Yes,,,,,,,,,0.25,,"143,144,170.00",60,"2,337,177.04",27,,,,,1.66,30,1.50,90,1.50,88,Brandon Matsui [$0 - None];Bryan Richards [$0 - None];Tanuj Dora [$0 - None];Alexander Bridgeforth [$0 - None];,4.42,87,,,,,,,,,,,,,,,,,,,6.31,88,465,19,0.00,25,0.00,20,99.21,4,0.00,8,0.00,11,0.00,12,0.00,36,0.79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,43,-2.07,10,,,,
Xtrackers Short Duration High Yld Bd ETF,SHYL,1/9/18,US Fund High Yield Bond,Yes,,,,,,,,,0.20,,"19,677,663.00",92,"-19,469,455.73",55,,,,,-49.75,98,1.50,90,1.50,88,"Brandon Matsui [$1 - $10,000];Bryan Richards [$10,001 - $50,000];Tanuj Dora [$0 - None];Alexander Bridgeforth [$0 - None];",5.63,43,,,,,,,,,,,,,,,,,,,9.05,67,364,29,0.00,25,0.00,20,98.84,8,0.00,8,0.00,11,0.00,12,0.00,36,1.00,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,9,-3.57,25,,,,
Xtrackers USD High Yield Corp Bd ETF,HYLB,12/6/16,US Fund High Yield Bond,Yes,,,,,,,,,0.15,,"2,956,812,252.00",12,"1,262,190,026.62",2,,,,,76.79,5,2.58,81,2.58,75,"Brandon Matsui [$1 - $10,000];Bryan Richards [$0 - None];Tanuj Dora [$0 - None];Alexander Bridgeforth [$0 - None];",5.74,35,,,,,,,,,,,,,,,,,,,4.03,95,"1,043",5,0.00,25,0.00,20,99.21,4,0.00,8,0.00,11,0.00,12,0.00,36,0.72,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,35,2.01,16,-4.37,47,,,,
Zeo Short Duration Income I,ZEOIX,5/31/11,US Fund High Yield Bond,No,,,,,,,,2.00,1.04,93,"381,691,981.00",39,"77,175,265.75",10,"140,696,482.38",12,"251,034,280.89",15,25.42,11,8.17,41,8.17,23,"Venkatesh Reddy [$100,001 - $500,000]",3.59,95,0.68,98,14.43,1,0.00,9,0.00,22,15.41,6,40.31,42,23.27,91,4.29,81,2.30,35,39.17,7,44,94,0.00,25,0.00,20,71.53,82,0.00,8,0.00,11,0.00,12,0.00,36,12.46,8,3.28,98,0.97,99,1.78,4,0.58,18,0.20,98,82.31,83,-0.42,1,2.82,88,1.22,99,1.53,1,1.14,9,0.19,98,-1.46,2,75.87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.80,1,0.54,6,-0.10,3,-0.48,3,1.27,95,2.11,13,1.72,28,-0.22,1,,,,
AB Bond Inflation Strategy Z,ABNZX,12/11/14,US Fund Inflation-Protected Bond,No,,,,,,,,5.00,0.50,93,"635,663,448.00",40,"1,746,452.15",38,"289,965,484.25",32,"188,527,481.26",38,0.28,39,9.50,28,6.00,44,Greg J. Wilensky [$0 - None];Shawn E. Keegan [$0 - None];Michael S. Canter [$0 - None];Janaki Rao [$0 - None];,2.67,22,3.22,78,73.73,85,1.86,26,8.50,11,8.75,15,4.23,8,0.73,17,0.03,19,2.17,10,66.42,37,483,7,80.63,75,-10.81,85,17.12,9,4.48,21,0.64,25,7.33,3,4.84,21,-4.29,87,2.71,12,2.32,67,0.54,10,0.78,10,0.72,70,81.82,67,-1.67,23,1.94,8,3.01,67,0.35,1,0.35,4,0.79,61,-4.46,33,85.75,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,15,1.14,74,-6.68,32,-3.19,79,-1.22,65,-0.50,30,-1.22,34,-0.92,37,-1.00,70,,,,
American Century Inflation Adjs Bond I,AIAHX,4/10/17,US Fund Inflation-Protected Bond,No,12/26/18,Neutral,Positive,Neutral,Neutral,Neutral,Positive,3.00,0.37,36,"2,541,055,270.00",18,"-377,116,030.13",90,"-466,673,024.24",92,"-774,314,937.06",96,-12.95,70,17.67,1,12.38,2,"Robert V. Gahagan [$0 - None];Brian Howell [$0 - None];James E. Platz [$10,001 - $50,000];Miguel Castillo [$10,001 - $50,000];",2.07,67,7.42,24,97.28,51,1.17,31,1.24,38,0.79,44,0.26,35,0.00,28,0.00,20,-0.74,100,54.00,48,122,35,,,,,,,,,,,,,,,,,1.79,70,3.00,28,0.12,74,-0.28,89,1.00,30,95.97,39,-3.14,87,1.30,54,3.62,29,0.12,56,-0.46,77,1.02,29,-5.09,65,97.30,35,3.19,65,4.54,28,0.60,84,-0.46,93,1.01,28,98.34,31,-9.71,62,3.68,61,5.47,61,0.44,67,-0.32,72,0.98,61,-11.80,17,97.71,39,-1.07,78,5.19,40,-8.83,78,-2.82,60,-0.74,54,-2.21,67,-3.14,94,-2.30,91,-1.04,75,-1.01,19,10.58,47
American Century Short Dur Infl ProBd I,APOHX,4/10/17,US Fund Inflation-Protected Bond,No,,,,,,,,2.00,0.47,55,"1,610,356,120.00",26,"-122,880,953.37",80,"175,771,705.98",37,"261,869,834.85",30,-7.11,57,14.17,12,11.15,4,"Robert V. Gahagan [$0 - None];Brian Howell [$10,001 - $50,000];James E. Platz [$0 - None];Miguel Castillo [$0 - None];",1.68,83,2.86,82,89.78,67,3.55,13,1.50,37,1.84,33,2.02,15,0.54,20,0.68,10,0.09,22,79.22,20,156,28,,,,,,,,,,,,,,,,,1.63,79,1.38,89,0.12,76,-0.08,45,0.38,87,65.97,85,-0.74,8,0.88,82,1.77,88,-0.01,82,-0.40,65,0.42,84,-3.41,14,71.41,77,2.72,84,3.09,90,0.72,13,0.43,7,0.57,87,67.12,84,-4.65,10,,,,,,,,,,,,,,,-0.99,73,3.00,65,-2.53,18,-2.64,39,-0.85,60,0.29,8,0.23,11,0.03,12,-0.54,48,-1.20,28,11.48,25
American Funds Inflation Linked Bd A,BFIAX,12/14/12,US Fund Inflation-Protected Bond,No,,,,,,,,4.00,0.72,23,"5,604,455,422.00",13,"793,755,149.92",7,"3,692,440,878.91",6,,,16.54,23,6.58,50,6.13,34,"David A. Hoag [$1,000,001 and above];Ritchie Tuazon [$100,001 - $500,000];",2.12,64,4.98,66,94.01,56,1.08,35,2.33,29,2.58,28,0.00,40,0.00,28,0.00,20,0.00,24,53.38,50,85,38,91.76,60,0.85,15,3.54,31,0.00,46,0.00,38,0.00,31,0.07,44,3.54,17,1.94,48,2.85,52,0.18,46,-0.10,54,0.94,50,92.84,50,-2.27,35,1.73,16,3.48,48,0.25,14,0.01,14,0.96,48,-4.32,29,93.89,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.57,66,-2.00,6,-1.05,61,-1.86,52,-2.27,51,-1.25,42,0.30,1,,,,
BlackRock Inflation Protected Bond Instl,BPRIX,6/28/04,US Fund Inflation-Protected Bond,No,3/15/19,Neutral,Neutral,Neutral,Positive,Neutral,Positive,3.00,0.34,60,"2,083,884,290.00",21,"-254,744,218.66",88,"-593,721,484.11",96,"-365,786,248.11",82,-10.88,65,2.42,84,1.87,79,"Christopher Allen [$10,001 - $50,000];David Rogal [$10,001 - $50,000];",2.90,13,7.33,34,98.34,49,0.63,44,0.10,44,0.93,40,0.00,40,0.00,28,0.00,20,0.00,24,40.67,63,129,33,107.81,9,-0.12,71,0.10,52,2.12,29,0.10,34,0.20,25,0.00,52,-10.03,93,1.85,63,2.85,54,0.15,68,-0.20,79,0.96,46,97.83,23,-2.74,72,1.14,71,3.40,54,0.08,73,-0.57,84,0.96,52,-5.34,73,97.80,29,3.24,56,4.21,72,0.66,50,-0.19,56,0.94,69,98.34,28,-8.55,19,4.09,17,5.30,89,0.53,6,0.16,6,0.95,89,-11.69,12,97.78,34,-0.94,71,4.67,58,-7.79,38,-3.31,82,-1.57,73,-2.19,65,-2.67,82,-2.13,88,-0.75,57,0.42,7,10.42,56
BNY Mellon Inflation Adjusted Sec I,DIASX,10/31/02,US Fund Inflation-Protected Bond,No,,,,,,,,3.00,0.55,65,"89,703,319.00",82,"-35,934,733.03",64,"-44,016,757.58",70,"-135,219,424.49",72,-28.48,90,14.50,8,10.75,5,Robert Bayston [$0 - None];Nate D. Pearson [$0 - None];,1.70,82,4.97,68,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,87.39,9,16,85,99.61,34,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.39,48,1.45,94,2.22,74,0.00,94,-0.46,94,0.72,65,92.89,48,-1.86,30,0.97,80,2.74,75,0.03,80,-0.58,92,0.75,67,-4.11,25,93.50,48,3.05,78,4.11,78,0.63,69,-0.29,81,0.91,75,96.80,53,-9.32,53,3.59,78,5.38,78,0.43,72,-0.36,78,0.96,78,-12.04,34,97.36,45,-1.22,90,5.50,26,-8.27,52,-2.92,71,-0.20,20,-1.44,45,-1.42,35,-0.79,34,-0.20,15,-1.16,25,10.40,59
Columbia Inflation Protected Secs Inst3,CINYX,3/1/17,US Fund Inflation-Protected Bond,No,,,,,,,,3.00,0.39,43,"165,196,628.00",72,"23,052,940.75",25,"-23,034,313.12",61,"-131,643,240.55",70,17.61,22,3.75,68,3.75,61,David Kennedy [$0 - None],3.32,7,7.20,42,83.57,76,1.84,28,1.99,33,9.44,13,1.94,19,0.00,28,0.00,20,1.21,11,10.54,98,80,39,86.30,69,-36.27,100,11.72,13,0.00,46,0.12,31,0.00,31,0.00,50,35.57,3,3.22,6,2.88,46,0.61,8,1.17,6,0.92,56,84.87,61,-2.78,74,1.32,52,4.59,6,0.11,63,-0.48,79,1.10,10,-10.93,90,70.41,80,3.19,62,4.85,16,0.57,90,-0.43,90,1.00,31,85.30,78,-13.33,96,3.56,83,5.71,28,0.40,83,-0.45,89,0.99,56,-13.33,72,91.26,83,-1.63,95,4.94,51,-8.38,54,-4.91,98,-5.33,96,-0.11,26,-2.07,44,-1.45,54,-1.64,87,-0.67,13,7.77,93
DFA Inflation-Protected Securities I,DIPSX,9/18/06,US Fund Inflation-Protected Bond,No,,,,,,,,5.00,0.12,15,"4,748,908,377.00",15,"-42,470,205.72",67,"1,011,149,333.50",15,"1,763,403,678.15",12,-0.89,43,12.83,15,7.89,20,"David A. Plecha [$10,001 - $50,000];Joseph F. Kolerich [$10,001 - $50,000];Alan R. Hutchison [$10,001 - $50,000];",2.20,52,7.31,38,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,80.36,17,17,82,99.99,15,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.01,73,2.18,26,3.36,10,0.23,28,0.03,30,1.13,8,96.70,32,-2.98,81,1.89,10,3.98,12,0.26,10,0.04,12,1.12,6,-4.67,50,97.88,27,3.90,10,4.87,13,0.71,25,0.01,31,1.08,10,98.03,38,-9.90,75,,,,,,,,,,,,,,,-0.44,29,5.72,10,-9.37,86,-2.86,67,0.26,2,-2.59,87,-2.48,67,-1.39,53,-0.03,4,-1.42,31,11.01,38
DFA LTIP Institutional,DRXIX,3/7/12,US Fund Inflation-Protected Bond,No,,,,,,,,4.00,0.15,16,"207,174,363.00",66,"18,881,092.76",28,"145,689,671.13",41,"187,897,424.69",40,10.16,30,7.33,44,6.03,42,"David A. Plecha [$10,001 - $50,000];Joseph F. Kolerich [$1 - $10,000];Alan R. Hutchison [$10,001 - $50,000];",2.45,38,24.94,1,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,,,6,100,99.51,38,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.49,44,2.45,19,9.14,1,0.15,67,-0.50,98,2.88,1,83.77,65,-10.76,100,2.49,2,9.89,1,0.21,35,-0.18,46,2.50,1,-15.66,100,77.64,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.40,100,-0.73,2,-0.79,56,-8.54,100,-10.76,100,-7.32,100,-3.44,98,,,,
Eaton Vance Short Dur Infl-Prot Inc I,EIRRX,4/1/10,US Fund Inflation-Protected Bond,No,,,,,,,,4.00,0.62,77,"264,620,963.00",60,"-68,554,457.17",72,"210,126,559.06",34,"199,854,841.69",36,-20.58,83,9.25,31,9.25,8,"Thomas H. Luster [$100,001 - $500,000];Stewart D. Taylor [$100,001 - $500,000];",2.45,36,2.07,98,67.15,89,0.81,40,3.70,22,1.74,35,9.60,4,10.80,1,0.39,13,5.81,4,49.09,55,805,5,49.03,95,0.00,17,0.76,48,0.00,46,0.00,38,0.60,17,21.64,5,3.24,19,2.73,10,1.51,83,0.81,1,1.10,8,0.23,98,17.75,96,-1.79,28,1.40,44,2.02,82,0.25,12,0.21,6,0.32,96,-4.34,31,31.35,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3,-1.25,95,-1.15,2,-3.16,77,-1.98,79,2.23,2,1.11,2,0.57,2,-1.76,88,,,,
Federated Real Return Bond I,RRFIX,10/18/06,US Fund Inflation-Protected Bond,No,,,,,,,,3.00,0.50,60,"43,066,591.00",88,"11,438,166.90",31,"11,817,343.64",50,"698,290.32",56,34.09,13,6.00,55,3.83,60,Todd A. Abraham [$0 - None];J. Andrew Kirschler [$0 - None];,2.33,44,7.10,44,98.40,47,0.00,47,0.00,46,0.00,46,0.50,31,0.70,19,0.40,11,0.00,24,37.27,71,34,64,97.29,46,-4.09,83,1.57,44,0.00,46,0.00,38,0.00,31,0.00,52,5.22,11,3.29,4,2.30,70,0.79,2,1.39,4,0.64,74,65.04,92,-2.33,37,1.36,46,2.96,69,0.16,46,-0.10,25,0.66,75,-6.01,79,61.41,92,2.61,87,3.46,87,0.62,81,0.18,16,0.62,84,63.55,90,-6.93,13,,,,,,,,,,,,,,,0.07,22,0.66,76,-5.70,28,-3.91,90,-2.55,88,1.45,4,-1.19,30,-1.16,39,-1.22,83,-0.90,16,11.37,31
Fidelity® Flex Infl-Prot Bd Idx,FBUIX,3/9/17,US Fund Inflation-Protected Bond,Yes,,,,,,,,,0.00,1,"5,615,675.00",100,"1,002,034.05",39,,,,,10.02,31,2.33,85,2.33,77,Brandon Bettencourt [$0 - None];Jay Small [$0 - None];,0.42,93,5.49,58,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,37.24,73,40,59,100.00,11,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,49,-1.26,44,-0.47,35,,,,
Fidelity® Inflation-Prot Bd Index,FIPDX,5/16/12,US Fund Inflation-Protected Bond,Yes,,,,,,,,4.00,0.05,4,"6,093,910,856.00",12,"388,663,048.83",9,"3,511,824,345.09",8,"4,070,481,509.44",8,6.81,35,5.17,60,4.71,53,"Brandon Bettencourt [$10,001 - $50,000];Jay Small [$0 - None];",0.38,95,5.48,60,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,37.10,75,41,52,99.85,25,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.15,60,1.99,41,3.00,24,0.19,39,-0.10,52,1.01,19,98.34,19,-2.66,61,1.72,18,3.67,27,0.24,16,-0.06,18,1.04,23,-4.89,58,98.73,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.61,72,-2.56,31,-0.02,10,-2.18,63,-2.29,53,-1.35,47,-0.48,38,,,,
Fidelity® Series Infl-Prtct Bd Idx,FSIPX,9/29/09,US Fund Inflation-Protected Bond,Yes,,,,,,,,3.00,0.00,1,"6,517,852,835.00",10,"2,700,090,616.85",2,"4,506,275,956.78",4,"4,997,232,684.59",6,70.72,4,5.17,60,4.71,53,Brandon Bettencourt [$0 - None];Jay Small [$0 - None];,0.37,98,3.47,76,100.00,40,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,43.87,60,30,69,99.97,19,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,0.03,69,1.82,67,2.31,68,0.16,59,-0.11,59,0.75,63,91.66,52,-1.89,32,1.29,58,2.86,73,0.14,52,-0.29,52,0.79,63,-3.86,23,93.71,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,13,2.20,72,-6.06,30,-2.81,54,0.10,4,-1.25,39,-1.09,25,-0.54,29,-0.13,10,,,,
FlexShares iBoxx 3Yr Target Dur TIPS ETF,TDTT,9/19/11,US Fund Inflation-Protected Bond,Yes,6/19/19,Silver,Neutral,Positive,Neutral,Neutral,Positive,2.00,0.18,,"1,242,792,803.00",29,"-926,810,070.00",93,"-516,013,170.00",94,"-841,147,745.00",98,-42.66,96,7.83,40,7.83,21,Daniel J. Personette [$0 - None];Michael R. Chico [$0 - None];Brandon P. Ferguson [$0 - None];,2.03,72,,,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,68.36,32,21,77,,,,,,,,,,,,,,,,,1.61,83,1.53,81,0.10,83,-0.12,63,0.43,78,70.87,74,-1.10,17,0.85,88,1.83,84,-0.03,86,-0.44,71,0.43,80,-3.35,12,70.34,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78,8,-2.70,46,-0.46,40,0.27,10,-0.34,21,-0.34,24,-0.11,9,,,,
FlexShares iBoxx 5Yr Target Dur TIPS ETF,TDTF,9/19/11,US Fund Inflation-Protected Bond,Yes,,,,,,,,4.00,0.18,,"555,008,197.00",44,"-452,979,475.00",91,"-14,968,335.00",59,"247,924,525.00",32,-44.92,98,7.83,40,7.83,21,Daniel J. Personette [$0 - None];Michael R. Chico [$0 - None];Brandon P. Ferguson [$0 - None];,1.93,75,,,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,61.89,42,22,75,,,,,,,,,,,,,,,,,2.11,30,2.67,63,0.25,23,0.11,23,0.86,57,91.13,54,-2.12,34,1.49,39,3.12,61,0.20,42,-0.14,35,0.84,60,-3.86,21,90.54,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.04,26,-3.16,75,0.06,6,-0.96,35,-1.92,39,-1.19,41,0.01,2,,,,
Franklin Real Return Adv,FARRX,11/17/04,US Fund Inflation-Protected Bond,No,,,,,,,,1.00,0.64,79,"172,046,876.00",71,"-21,404,430.35",56,"-80,991,941.11",76,"-208,716,557.09",78,-15.39,75,14.67,5,7.54,24,"David Yuen [$0 - None];Kent Burns [$1 - $10,000];",1.76,80,2.06,100,100.00,2,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,0.00,24,51.06,53,39,62,58.88,89,0.00,17,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,20.46,5,1.71,76,2.96,34,0.10,87,0.03,28,0.39,79,14.20,98,-4.04,94,-0.18,98,3.79,23,-0.27,100,-1.54,100,0.58,77,-11.06,92,28.43,98,1.99,90,4.29,53,0.36,96,0.22,13,0.42,90,19.35,100,-11.06,93,,,,,,,,,,,,,,,3.37,1,-5.83,100,-2.82,20,-4.60,96,-6.33,100,0.30,6,-1.45,37,-0.90,36,-3.41,96,-4.30,78,11.80,22
Goldman Sachs Acs Infl Protd USD Bd ETF,GTIP,10/2/18,US Fund Inflation-Protected Bond,Yes,,,,,,,,,0.12,,"7,783,193.00",95,,,,,,,,,0.75,100,0.75,100,Jason Singer [$0 - None];David Westbrook [$0 - None];,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Infl Protected Secs Instl,GSIPX,8/31/07,US Fund Inflation-Protected Bond,No,,,,,,,,4.00,0.34,30,"390,696,820.00",52,"-15,009,682.67",49,"174,845,068.28",39,"214,849,804.76",34,-5.57,49,11.92,16,10.46,7,"Mark Van Wyk [$10,001 - $50,000];Matthew T. Kaiser [$100,001 - $500,000];",2.27,48,7.40,30,100.19,1,0.00,47,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,-0.19,98,86.60,10,33,65,95.25,52,-0.28,73,0.00,56,0.00,46,0.00,38,0.00,31,0.00,52,5.02,13,1.92,54,2.93,37,0.17,52,-0.15,68,0.99,35,98.57,17,-2.46,41,1.54,37,3.40,56,0.20,40,-0.18,44,0.96,46,-4.54,40,98.79,16,3.56,28,4.42,47,0.70,28,-0.04,38,0.99,47,99.22,13,-8.94,35,,,,,,,,,,,,,,,-0.88,56,5.69,12,-8.17,48,-2.81,58,-0.41,33,-2.12,61,-2.15,46,-1.36,49,-0.82,64,-1.03,22,10.82,44
Great-West Core Strats Infl-Prtd Scs Ins,MXEGX,6/25/18,US Fund Inflation-Protected Bond,No,,,,,,,,,0.40,46,"96,704,008.00",80,"85,526,403.55",17,,,,,855.26,1,1.08,96,1.08,96,Mark Van Wyk [$0 - None];Matthew T. Kaiser [$0 - None];,0.37,96,,,,,,,,,,,,,,,,,,,75.90,24,29,72,81.26,73,0.00,17,0.00,56,6.76,17,0.00,38,0.00,31,11.97,9,0.00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,17,,,,
Great-West Infl-Protd Secs Instl,MXIOX,1/4/18,US Fund Inflation-Protected Bond,No,,,,,,,,,0.35,32,"404,397,965.00",48,"-34,658,601.83",62,,,,,-7.94,59,1.50,92,1.50,92,Mark Van Wyk [$0 - None];Matthew T. Kaiser [$0 - None];,4.57,1,2.96,80,95.09,53,1.07,37,0.00,46,0.00,46,0.00,40,0.00,28,0.00,20,3.84,6,60.30,43,53,46,56.53,91,0.00,17,1.71,42,9.86,15,0.00,38,0.00,31,29.80,1,0.00,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,26,-0.65,54,,,,
